trade_id,timestamp_executed,delivery_start,delivery_end,direction,volume_mw,price_eur_mwh,plant_id,strategy,pnl_eur,trader_id,order_type,remit_reported
TRD-001028,2026-01-05T09:45:00Z,2026-01-05 09:45,2026-01-05 10:00,SELL,200,88.09,ISAR_OCGT,ID_OPTIM,3568.95,TR_FISCHER,MARKET,True
TRD-001029,2026-01-05T06:30:00Z,2026-01-05 06:30,2026-01-05 06:45,BUY,50,53.66,,ID_OPTIM,1238.43,TR_WEBER,LIMIT,True
TRD-001030,2026-01-05T12:15:00Z,2026-01-05 12:15,2026-01-05 12:30,SELL,380,104.56,NORDSEE_WIND,ID_OPTIM,-3818.93,TR_WEBER,LIMIT,True
TRD-001031,2026-01-05T14:30:00Z,2026-01-05 14:30,2026-01-05 14:45,BUY,25,74.26,,DA_HEDGE,-1952.63,TR_FISCHER,LIMIT,True
TRD-001032,2026-01-05T11:00:00Z,2026-01-05 11:00,2026-01-05 11:15,SELL,10,65.9,BAYERN_SOLAR,DA_HEDGE,2881.11,TR_SCHMIDT,MARKET,True
TRD-001033,2026-01-05T22:45:00Z,2026-01-05 22:45,2026-01-05 23:00,SELL,100,96.68,NORDSEE_WIND,ID_OPTIM,-381.73,TR_SCHMIDT,LIMIT,True
TRD-001034,2026-01-06T21:45:00Z,2026-01-06 21:45,2026-01-06 22:00,SELL,50,13.57,RHEIN_CCGT,DA_HEDGE,3344.85,TR_MUELLER,LIMIT,True
TRD-001035,2026-01-06T22:45:00Z,2026-01-06 22:45,2026-01-06 23:00,SELL,200,32.4,ISAR_OCGT,ID_OPTIM,-2476.42,TR_FISCHER,LIMIT,True
TRD-001036,2026-01-06T04:45:00Z,2026-01-06 04:45,2026-01-06 05:00,BUY,150,91.05,,DA_HEDGE,3518.54,TR_MUELLER,MARKET,True
TRD-001037,2026-01-06T08:30:00Z,2026-01-06 08:30,2026-01-06 08:45,SELL,25,89.42,ISAR_OCGT,SPREAD,-3305.24,TR_FISCHER,MARKET,True
TRD-001038,2026-01-06T05:00:00Z,2026-01-06 05:00,2026-01-06 05:15,SELL,380,69.18,ISAR_OCGT,BALANCING,1607.05,TR_SCHMIDT,ICEBERG,True
TRD-001039,2026-01-06T23:30:00Z,2026-01-06 23:30,2026-01-06 23:45,SELL,250,21.72,ISAR_OCGT,ID_OPTIM,-1275.19,TR_MUELLER,ICEBERG,True
TRD-001040,2026-01-06T06:45:00Z,2026-01-06 06:45,2026-01-06 07:00,BUY,380,74.68,,ID_OPTIM,3323.29,TR_SCHMIDT,LIMIT,True
TRD-001041,2026-01-06T05:15:00Z,2026-01-06 05:15,2026-01-06 05:30,SELL,150,48.3,NORDSEE_WIND,DA_HEDGE,625.45,TR_WEBER,LIMIT,True
TRD-001042,2026-01-06T21:00:00Z,2026-01-06 21:00,2026-01-06 21:15,BUY,100,76.16,,SPREAD,1051.42,TR_SCHMIDT,MARKET,True
TRD-001043,2026-01-06T07:15:00Z,2026-01-06 07:15,2026-01-06 07:30,SELL,25,61.69,NORDSEE_WIND,SPREAD,-3416.3,TR_FISCHER,LIMIT,True
TRD-001044,2026-01-06T07:30:00Z,2026-01-06 07:30,2026-01-06 07:45,SELL,75,30.95,ISAR_OCGT,SPREAD,177.6,TR_SCHMIDT,LIMIT,True
TRD-001045,2026-01-06T12:00:00Z,2026-01-06 12:00,2026-01-06 12:15,SELL,25,86.86,ISAR_OCGT,ID_OPTIM,3757.9,TR_MUELLER,LIMIT,True
TRD-001046,2026-01-06T13:45:00Z,2026-01-06 13:45,2026-01-06 14:00,BUY,75,92.92,,BALANCING,1903.53,TR_FISCHER,LIMIT,True
TRD-001047,2026-01-06T22:30:00Z,2026-01-06 22:30,2026-01-06 22:45,BUY,25,71.84,,SPREAD,6613.78,TR_WEBER,LIMIT,True
TRD-001048,2026-01-06T05:00:00Z,2026-01-06 05:00,2026-01-06 05:15,SELL,100,86.61,BAYERN_SOLAR,SPREAD,479.12,TR_SCHMIDT,LIMIT,True
TRD-001049,2026-01-06T11:15:00Z,2026-01-06 11:15,2026-01-06 11:30,BUY,200,35.67,,SPREAD,1882.91,TR_SCHMIDT,LIMIT,True
TRD-001050,2026-01-06T14:30:00Z,2026-01-06 14:30,2026-01-06 14:45,BUY,150,75.5,,DA_HEDGE,-1945.52,TR_WEBER,MARKET,True
TRD-001051,2026-01-06T01:00:00Z,2026-01-06 01:00,2026-01-06 01:15,SELL,100,-2.02,RHEIN_CCGT,DA_HEDGE,-2902.86,TR_FISCHER,MARKET,True
TRD-001052,2026-01-06T09:15:00Z,2026-01-06 09:15,2026-01-06 09:30,SELL,50,101.2,ISAR_OCGT,BALANCING,3807.74,TR_WEBER,LIMIT,True
TRD-001053,2026-01-06T18:00:00Z,2026-01-06 18:00,2026-01-06 18:15,SELL,100,84.88,ISAR_OCGT,BALANCING,-166.12,TR_FISCHER,LIMIT,True
TRD-001054,2026-01-06T19:30:00Z,2026-01-06 19:30,2026-01-06 19:45,SELL,380,49.7,ISAR_OCGT,ID_OPTIM,1936.87,TR_MUELLER,LIMIT,True
TRD-001055,2026-01-06T09:30:00Z,2026-01-06 09:30,2026-01-06 09:45,SELL,50,90.09,RHEIN_CCGT,SPREAD,-4723.69,TR_WEBER,LIMIT,True
TRD-001056,2026-01-06T09:30:00Z,2026-01-06 09:30,2026-01-06 09:45,SELL,100,104.56,RHEIN_CCGT,BALANCING,740.34,TR_MUELLER,LIMIT,True
TRD-001057,2026-01-06T20:45:00Z,2026-01-06 20:45,2026-01-06 21:00,BUY,200,50.77,,ID_OPTIM,1640.14,TR_FISCHER,LIMIT,True
TRD-001058,2026-01-06T23:45:00Z,2026-01-06 23:45,2026-01-07 00:00,BUY,380,73.65,,ID_OPTIM,2114.57,TR_MUELLER,MARKET,True
TRD-001059,2026-01-06T06:15:00Z,2026-01-06 06:15,2026-01-06 06:30,BUY,50,44.95,,BALANCING,603.47,TR_SCHMIDT,ICEBERG,True
TRD-001060,2026-01-06T18:30:00Z,2026-01-06 18:30,2026-01-06 18:45,SELL,150,112.3,BAYERN_SOLAR,DA_HEDGE,-6461.82,TR_SCHMIDT,LIMIT,True
TRD-001061,2026-01-06T10:15:00Z,2026-01-06 10:15,2026-01-06 10:30,BUY,50,73.74,,SPREAD,-3335.68,TR_WEBER,LIMIT,True
TRD-001062,2026-01-06T23:15:00Z,2026-01-06 23:15,2026-01-06 23:30,SELL,380,56.11,RHEIN_CCGT,SPREAD,-510.7,TR_SCHMIDT,MARKET,True
TRD-001063,2026-01-06T21:00:00Z,2026-01-06 21:00,2026-01-06 21:15,SELL,25,60.61,BAYERN_SOLAR,ID_OPTIM,1686.85,TR_FISCHER,LIMIT,True
TRD-001064,2026-01-06T12:30:00Z,2026-01-06 12:30,2026-01-06 12:45,BUY,20,61.45,,BALANCING,233.76,TR_FISCHER,LIMIT,True
TRD-001065,2026-01-07T23:30:00Z,2026-01-07 23:30,2026-01-07 23:45,SELL,20,72.44,ISAR_OCGT,ID_OPTIM,4563.52,TR_SCHMIDT,LIMIT,True
TRD-001066,2026-01-07T16:00:00Z,2026-01-07 16:00,2026-01-07 16:15,SELL,75,92.27,RHEIN_CCGT,DA_HEDGE,2616.87,TR_MUELLER,LIMIT,True
TRD-001067,2026-01-07T19:15:00Z,2026-01-07 19:15,2026-01-07 19:30,SELL,250,0.27,NORDSEE_WIND,DA_HEDGE,2834.35,TR_SCHMIDT,LIMIT,True
TRD-001068,2026-01-07T09:15:00Z,2026-01-07 09:15,2026-01-07 09:30,BUY,380,97.94,,ID_OPTIM,-5299.5,TR_MUELLER,LIMIT,True
TRD-001069,2026-01-07T01:00:00Z,2026-01-07 01:00,2026-01-07 01:15,BUY,20,104.37,,SPREAD,-5080.29,TR_FISCHER,LIMIT,True
TRD-001070,2026-01-07T20:00:00Z,2026-01-07 20:00,2026-01-07 20:15,BUY,25,49.9,,ID_OPTIM,-673.86,TR_WEBER,LIMIT,True
TRD-001071,2026-01-07T15:30:00Z,2026-01-07 15:30,2026-01-07 15:45,SELL,100,99.69,ISAR_OCGT,ID_OPTIM,-3134.15,TR_SCHMIDT,LIMIT,True
TRD-001072,2026-01-07T20:45:00Z,2026-01-07 20:45,2026-01-07 21:00,SELL,75,40.5,ISAR_OCGT,ID_OPTIM,-2715.7,TR_MUELLER,LIMIT,True
TRD-001073,2026-01-07T14:45:00Z,2026-01-07 14:45,2026-01-07 15:00,SELL,250,103.01,BAYERN_SOLAR,ID_OPTIM,-1067.39,TR_WEBER,LIMIT,True
TRD-001074,2026-01-07T08:45:00Z,2026-01-07 08:45,2026-01-07 09:00,SELL,150,68.65,NORDSEE_WIND,DA_HEDGE,3888.38,TR_SCHMIDT,LIMIT,True
TRD-001075,2026-01-07T07:00:00Z,2026-01-07 07:00,2026-01-07 07:15,SELL,380,14.04,BAYERN_SOLAR,ID_OPTIM,-343.14,TR_WEBER,LIMIT,True
TRD-001076,2026-01-07T07:00:00Z,2026-01-07 07:00,2026-01-07 07:15,BUY,100,80.41,,SPREAD,-924.58,TR_MUELLER,LIMIT,True
TRD-001077,2026-01-07T05:45:00Z,2026-01-07 05:45,2026-01-07 06:00,BUY,75,85.56,,ID_OPTIM,4591.36,TR_WEBER,ICEBERG,True
TRD-001078,2026-01-07T02:00:00Z,2026-01-07 02:00,2026-01-07 02:15,SELL,25,-4.97,RHEIN_CCGT,ID_OPTIM,-3172.86,TR_FISCHER,LIMIT,True
TRD-001079,2026-01-07T07:00:00Z,2026-01-07 07:00,2026-01-07 07:15,SELL,75,62.59,BAYERN_SOLAR,DA_HEDGE,-4730.36,TR_SCHMIDT,MARKET,True
TRD-001080,2026-01-07T14:45:00Z,2026-01-07 14:45,2026-01-07 15:00,SELL,50,106.32,BAYERN_SOLAR,SPREAD,-152.88,TR_WEBER,LIMIT,True
TRD-001081,2026-01-07T13:45:00Z,2026-01-07 13:45,2026-01-07 14:00,BUY,50,105.04,,ID_OPTIM,-1378.65,TR_FISCHER,LIMIT,True
TRD-001082,2026-01-07T00:30:00Z,2026-01-07 00:30,2026-01-07 00:45,SELL,200,36.12,BAYERN_SOLAR,SPREAD,6004.48,TR_SCHMIDT,LIMIT,True
TRD-001083,2026-01-07T04:00:00Z,2026-01-07 04:00,2026-01-07 04:15,SELL,25,10.85,BAYERN_SOLAR,SPREAD,-4303.15,TR_FISCHER,LIMIT,True
TRD-001084,2026-01-07T09:00:00Z,2026-01-07 09:00,2026-01-07 09:15,BUY,200,109.45,,BALANCING,1589.83,TR_SCHMIDT,MARKET,True
TRD-001085,2026-01-07T08:30:00Z,2026-01-07 08:30,2026-01-07 08:45,SELL,200,64.87,BAYERN_SOLAR,DA_HEDGE,3157.64,TR_WEBER,ICEBERG,True
TRD-001086,2026-01-07T18:45:00Z,2026-01-07 18:45,2026-01-07 19:00,SELL,150,83.75,BAYERN_SOLAR,ID_OPTIM,2267.23,TR_WEBER,MARKET,True
TRD-001087,2026-01-07T16:45:00Z,2026-01-07 16:45,2026-01-07 17:00,BUY,20,142.03,,ID_OPTIM,748.46,TR_FISCHER,LIMIT,True
TRD-001088,2026-01-07T10:15:00Z,2026-01-07 10:15,2026-01-07 10:30,BUY,10,86.18,,ID_OPTIM,-1626.12,TR_WEBER,MARKET,True
TRD-001089,2026-01-07T08:30:00Z,2026-01-07 08:30,2026-01-07 08:45,SELL,20,92.82,RHEIN_CCGT,ID_OPTIM,113.16,TR_SCHMIDT,LIMIT,True
TRD-001090,2026-01-07T13:45:00Z,2026-01-07 13:45,2026-01-07 14:00,SELL,25,81.49,ISAR_OCGT,BALANCING,-146.6,TR_SCHMIDT,LIMIT,True
TRD-001091,2026-01-07T22:15:00Z,2026-01-07 22:15,2026-01-07 22:30,SELL,250,41.1,NORDSEE_WIND,ID_OPTIM,-84.36,TR_SCHMIDT,LIMIT,True
TRD-001092,2026-01-07T02:45:00Z,2026-01-07 02:45,2026-01-07 03:00,SELL,380,22.75,ISAR_OCGT,ID_OPTIM,576.16,TR_FISCHER,LIMIT,True
TRD-001093,2026-01-07T10:30:00Z,2026-01-07 10:30,2026-01-07 10:45,SELL,75,67.15,NORDSEE_WIND,BALANCING,3992.7,TR_SCHMIDT,ICEBERG,True
TRD-001094,2026-01-07T15:15:00Z,2026-01-07 15:15,2026-01-07 15:30,SELL,10,78.93,RHEIN_CCGT,DA_HEDGE,1112.85,TR_WEBER,MARKET,True
TRD-001095,2026-01-07T10:45:00Z,2026-01-07 10:45,2026-01-07 11:00,SELL,75,104.7,NORDSEE_WIND,ID_OPTIM,862.16,TR_SCHMIDT,MARKET,True
TRD-001096,2026-01-07T19:15:00Z,2026-01-07 19:15,2026-01-07 19:30,BUY,75,28.51,,ID_OPTIM,474.61,TR_SCHMIDT,LIMIT,True
TRD-001097,2026-01-07T04:00:00Z,2026-01-07 04:00,2026-01-07 04:15,SELL,10,34.73,RHEIN_CCGT,DA_HEDGE,468.58,TR_SCHMIDT,LIMIT,True
TRD-001098,2026-01-07T20:15:00Z,2026-01-07 20:15,2026-01-07 20:30,SELL,250,52.56,RHEIN_CCGT,SPREAD,-2552.79,TR_MUELLER,MARKET,True
TRD-001099,2026-01-07T00:30:00Z,2026-01-07 00:30,2026-01-07 00:45,SELL,150,66.44,BAYERN_SOLAR,ID_OPTIM,-3010.68,TR_SCHMIDT,MARKET,True
TRD-001100,2026-01-07T22:45:00Z,2026-01-07 22:45,2026-01-07 23:00,BUY,20,32.54,,SPREAD,-930.62,TR_WEBER,LIMIT,True
TRD-001101,2026-01-08T19:30:00Z,2026-01-08 19:30,2026-01-08 19:45,BUY,200,22.56,,SPREAD,4050.46,TR_MUELLER,LIMIT,True
TRD-001102,2026-01-08T00:00:00Z,2026-01-08 00:00,2026-01-08 00:15,SELL,150,75.13,RHEIN_CCGT,ID_OPTIM,-4090.79,TR_MUELLER,LIMIT,True
TRD-001103,2026-01-08T11:15:00Z,2026-01-08 11:15,2026-01-08 11:30,SELL,380,87.26,NORDSEE_WIND,SPREAD,-917.12,TR_FISCHER,LIMIT,True
TRD-001104,2026-01-08T02:15:00Z,2026-01-08 02:15,2026-01-08 02:30,BUY,250,48.33,,ID_OPTIM,-2942.37,TR_FISCHER,LIMIT,True
TRD-001105,2026-01-08T17:15:00Z,2026-01-08 17:15,2026-01-08 17:30,SELL,75,53.34,RHEIN_CCGT,BALANCING,5773.48,TR_SCHMIDT,LIMIT,True
TRD-001106,2026-01-08T19:45:00Z,2026-01-08 19:45,2026-01-08 20:00,SELL,10,22.84,ISAR_OCGT,ID_OPTIM,5897.12,TR_MUELLER,ICEBERG,True
TRD-001107,2026-01-08T23:45:00Z,2026-01-08 23:45,2026-01-09 00:00,BUY,250,32.97,,SPREAD,3039.24,TR_WEBER,LIMIT,True
TRD-001108,2026-01-08T20:45:00Z,2026-01-08 20:45,2026-01-08 21:00,BUY,200,45.23,,ID_OPTIM,2897.31,TR_FISCHER,ICEBERG,True
TRD-001109,2026-01-08T09:30:00Z,2026-01-08 09:30,2026-01-08 09:45,SELL,10,41.09,BAYERN_SOLAR,ID_OPTIM,2758.26,TR_SCHMIDT,LIMIT,True
TRD-001110,2026-01-08T10:30:00Z,2026-01-08 10:30,2026-01-08 10:45,SELL,250,68.94,ISAR_OCGT,ID_OPTIM,-1241.0,TR_MUELLER,LIMIT,True
TRD-001111,2026-01-08T10:00:00Z,2026-01-08 10:00,2026-01-08 10:15,SELL,250,46.08,NORDSEE_WIND,ID_OPTIM,3053.41,TR_MUELLER,LIMIT,True
TRD-001112,2026-01-08T22:30:00Z,2026-01-08 22:30,2026-01-08 22:45,SELL,25,75.1,BAYERN_SOLAR,ID_OPTIM,2549.78,TR_WEBER,LIMIT,True
TRD-001113,2026-01-08T14:00:00Z,2026-01-08 14:00,2026-01-08 14:15,SELL,20,128.5,RHEIN_CCGT,DA_HEDGE,-4774.07,TR_MUELLER,LIMIT,True
TRD-001114,2026-01-08T11:15:00Z,2026-01-08 11:15,2026-01-08 11:30,SELL,10,99.23,RHEIN_CCGT,SPREAD,3853.44,TR_FISCHER,ICEBERG,True
TRD-001115,2026-01-08T06:45:00Z,2026-01-08 06:45,2026-01-08 07:00,SELL,20,49.8,ISAR_OCGT,DA_HEDGE,-1639.06,TR_SCHMIDT,LIMIT,True
TRD-001116,2026-01-08T16:30:00Z,2026-01-08 16:30,2026-01-08 16:45,SELL,150,118.38,RHEIN_CCGT,DA_HEDGE,-2379.19,TR_SCHMIDT,LIMIT,True
TRD-001117,2026-01-08T17:30:00Z,2026-01-08 17:30,2026-01-08 17:45,SELL,10,120.09,BAYERN_SOLAR,ID_OPTIM,-3626.09,TR_WEBER,ICEBERG,True
TRD-001118,2026-01-08T19:45:00Z,2026-01-08 19:45,2026-01-08 20:00,BUY,100,59.12,,DA_HEDGE,828.26,TR_SCHMIDT,MARKET,True
TRD-001119,2026-01-08T09:45:00Z,2026-01-08 09:45,2026-01-08 10:00,SELL,250,40.75,NORDSEE_WIND,ID_OPTIM,8490.58,TR_SCHMIDT,ICEBERG,True
TRD-001120,2026-01-08T11:15:00Z,2026-01-08 11:15,2026-01-08 11:30,SELL,200,135.87,ISAR_OCGT,ID_OPTIM,1927.06,TR_FISCHER,LIMIT,True
TRD-001121,2026-01-09T02:00:00Z,2026-01-09 02:00,2026-01-09 02:15,SELL,25,106.02,BAYERN_SOLAR,SPREAD,1457.02,TR_MUELLER,LIMIT,True
TRD-001122,2026-01-09T23:30:00Z,2026-01-09 23:30,2026-01-09 23:45,SELL,20,63.71,ISAR_OCGT,SPREAD,2545.56,TR_FISCHER,ICEBERG,True
TRD-001123,2026-01-09T02:30:00Z,2026-01-09 02:30,2026-01-09 02:45,BUY,100,28.51,,SPREAD,1734.02,TR_WEBER,LIMIT,True
TRD-001124,2026-01-09T13:00:00Z,2026-01-09 13:00,2026-01-09 13:15,SELL,75,62.72,ISAR_OCGT,ID_OPTIM,-5419.58,TR_MUELLER,MARKET,True
TRD-001125,2026-01-09T00:00:00Z,2026-01-09 00:00,2026-01-09 00:15,SELL,25,68.52,ISAR_OCGT,ID_OPTIM,4337.17,TR_FISCHER,LIMIT,True
TRD-001126,2026-01-09T21:00:00Z,2026-01-09 21:00,2026-01-09 21:15,SELL,250,53.25,RHEIN_CCGT,ID_OPTIM,765.57,TR_MUELLER,MARKET,True
TRD-001127,2026-01-09T11:30:00Z,2026-01-09 11:30,2026-01-09 11:45,SELL,25,121.53,BAYERN_SOLAR,BALANCING,-6381.14,TR_WEBER,LIMIT,True
TRD-001128,2026-01-09T15:30:00Z,2026-01-09 15:30,2026-01-09 15:45,BUY,20,66.9,,DA_HEDGE,-6844.17,TR_FISCHER,ICEBERG,True
TRD-001129,2026-01-09T09:15:00Z,2026-01-09 09:15,2026-01-09 09:30,SELL,75,37.15,RHEIN_CCGT,ID_OPTIM,1457.65,TR_MUELLER,MARKET,True
TRD-001130,2026-01-09T12:45:00Z,2026-01-09 12:45,2026-01-09 13:00,SELL,75,99.33,BAYERN_SOLAR,DA_HEDGE,472.03,TR_WEBER,LIMIT,True
TRD-001131,2026-01-09T01:15:00Z,2026-01-09 01:15,2026-01-09 01:30,SELL,20,59.36,NORDSEE_WIND,ID_OPTIM,-2532.91,TR_SCHMIDT,LIMIT,True
TRD-001132,2026-01-09T08:45:00Z,2026-01-09 08:45,2026-01-09 09:00,SELL,200,86.2,NORDSEE_WIND,SPREAD,1331.42,TR_SCHMIDT,LIMIT,True
TRD-001133,2026-01-09T22:45:00Z,2026-01-09 22:45,2026-01-09 23:00,BUY,250,70.22,,DA_HEDGE,-4009.34,TR_WEBER,LIMIT,True
TRD-001134,2026-01-09T08:00:00Z,2026-01-09 08:00,2026-01-09 08:15,SELL,100,114.71,RHEIN_CCGT,ID_OPTIM,-1960.82,TR_MUELLER,MARKET,True
TRD-001135,2026-01-09T19:45:00Z,2026-01-09 19:45,2026-01-09 20:00,SELL,75,93.88,ISAR_OCGT,DA_HEDGE,1286.13,TR_WEBER,MARKET,True
TRD-001136,2026-01-09T10:15:00Z,2026-01-09 10:15,2026-01-09 10:30,SELL,50,103.34,BAYERN_SOLAR,ID_OPTIM,-2138.68,TR_WEBER,LIMIT,True
TRD-001137,2026-01-09T15:15:00Z,2026-01-09 15:15,2026-01-09 15:30,SELL,20,152.4,RHEIN_CCGT,ID_OPTIM,233.42,TR_WEBER,LIMIT,True
TRD-001138,2026-01-09T08:45:00Z,2026-01-09 08:45,2026-01-09 09:00,SELL,50,87.65,NORDSEE_WIND,ID_OPTIM,623.93,TR_MUELLER,MARKET,True
TRD-001139,2026-01-09T09:45:00Z,2026-01-09 09:45,2026-01-09 10:00,SELL,20,88.18,RHEIN_CCGT,SPREAD,5083.55,TR_FISCHER,LIMIT,True
TRD-001140,2026-01-09T10:15:00Z,2026-01-09 10:15,2026-01-09 10:30,SELL,250,78.69,RHEIN_CCGT,ID_OPTIM,2407.58,TR_SCHMIDT,ICEBERG,True
TRD-001141,2026-01-09T11:00:00Z,2026-01-09 11:00,2026-01-09 11:15,SELL,100,69.69,NORDSEE_WIND,SPREAD,-580.94,TR_MUELLER,MARKET,True
TRD-001142,2026-01-09T03:00:00Z,2026-01-09 03:00,2026-01-09 03:15,SELL,380,43.24,RHEIN_CCGT,ID_OPTIM,-472.36,TR_WEBER,LIMIT,True
TRD-001143,2026-01-09T03:00:00Z,2026-01-09 03:00,2026-01-09 03:15,SELL,25,45.68,BAYERN_SOLAR,ID_OPTIM,1177.5,TR_MUELLER,LIMIT,True
TRD-001144,2026-01-09T11:00:00Z,2026-01-09 11:00,2026-01-09 11:15,SELL,10,69.76,BAYERN_SOLAR,DA_HEDGE,3937.42,TR_FISCHER,LIMIT,True
TRD-001145,2026-01-09T14:45:00Z,2026-01-09 14:45,2026-01-09 15:00,SELL,250,106.74,BAYERN_SOLAR,SPREAD,-3590.39,TR_WEBER,LIMIT,True
TRD-001146,2026-01-09T03:45:00Z,2026-01-09 03:45,2026-01-09 04:00,SELL,25,15.58,RHEIN_CCGT,ID_OPTIM,4098.44,TR_SCHMIDT,LIMIT,True
TRD-001147,2026-01-10T18:00:00Z,2026-01-10 18:00,2026-01-10 18:15,SELL,380,111.41,ISAR_OCGT,DA_HEDGE,-110.7,TR_SCHMIDT,ICEBERG,True
TRD-001148,2026-01-10T07:30:00Z,2026-01-10 07:30,2026-01-10 07:45,SELL,10,66.86,BAYERN_SOLAR,ID_OPTIM,2168.99,TR_FISCHER,LIMIT,True
TRD-001149,2026-01-10T08:45:00Z,2026-01-10 08:45,2026-01-10 09:00,SELL,75,119.21,BAYERN_SOLAR,BALANCING,3367.91,TR_FISCHER,MARKET,True
